city,district,rooms,rent,address,construct_year,housing_type,on_sale,size
HELSINKI,Kallio,1,730.00,Alppikatu 3 A,1964,block_of_flats,False,29.00
HELSINKI,Toukola,3,1740.00,Kotisaarenkatu 3 G,2009,block_of_flats,False,87.00
JYVÄSKYLÄ,Kivistö,1,586.00,Tavintie 5 E,1973,block_of_flats,False,36.00
TAMPERE,Hatanpää,2,889.00,Vihilahdenkatu 6 D,1997,block_of_flats,False,60.00
VANTAA,Kivistö,2,802.00,Keltasafiirinpolku 1 A,2019,block_of_flats,False,37.50
VANTAA,Pähkinärinne,2,966.00,Lehtikallio 8 A,2015,block_of_flats,False,53.00
TAMPERE,Keskusta,1,715.00,Puuvillatehtaankatu 6 F,2023,block_of_flats,False,29.00
HELSINKI,Taka-Töölö,1,831.00,Töölöntullinkatu 8 A,2022,block_of_flats,False,23.00
HELSINKI,Roihuvuori,2,896.00,Roihuvuorentie 20 M,1956,block_of_flats,False,52.00
HELSINKI,Aurinkolahti,2,870.00,Paahtajankuja 4 A,,block_of_flats,False,34.00
HELSINKI,Meilahti,2,1040.00,Mannerheimintie 93 C,1953,block_of_flats,False,51.50
HELSINKI,Jätkäsaari,2,1158.00,Saukonpaadenranta 4 A,2012,block_of_flats,False,44.00
TAMPERE,Hervanta,1,629.00,Opiskelijankatu 9 A,1976,block_of_flats,False,29.00
VANTAA,Tikkurila,2,1050.00,Neilikkatie 4 B,,block_of_flats,False,59.00
VANTAA,Hiekkaharju,2,834.00,Sipulitie 1 X,2010,block_of_flats,False,43.50
ESPOO,Niittykumpu,3,1472.00,Vuoritontuntie 3 C,2023,block_of_flats,False,70.50
TAMPERE,Hatanpää,3,1296.00,Siirtolapuutarhankatu 5 B,2000,block_of_flats,False,75.50
VANTAA,Hakunila,2,799.00,Kaskelantie 12 A,2022,block_of_flats,False,41.50
KERAVA,Keskusta,2,749.00,Terhikintie 1 A,2022,block_of_flats,False,47.00
TURKU,Kupittaa,1,672.00,Vanha Littoistentie 12 A,2018,block_of_flats,False,34.50
JÄRVENPÄÄ,Pöytäalho,2,913.00,SAHANKAARI 15 A,2000,block_of_flats,False,59.50
HELSINKI,Kannelmäki,1,850.00,Pasuunatie 4 b B,2013,block_of_flats,False,35.00
TAMPERE,Hatanpää,1,769.00,Siirtolapuutarhankatu 7 C,2000,block_of_flats,False,39.00
JÄRVENPÄÄ,Lepola,2,875.00,Tähkä 1 B,2014,block_of_flats,False,48.00
TAMPERE,Hervanta,1,636.00,Tutkijankatu 6 A,2019,block_of_flats,False,32.50
RAUMA,Sinisaari,1,489.00,Aittakarinkatu 16 C,1975,block_of_flats,False,36.00
ESPOO,Vermonniitty,1,735.00,Kaarlo Sarkian katu 1 C,2021,block_of_flats,False,29.00
